date,close,volume,total_bids,cover_ratio
2012-01-03,6.31,300000,,
2012-01-10,6.83,300000,,
2012-01-17,6.68,300000,,
2012-01-24,6.9,300000,,
2012-01-26,7.46,850000,,
2012-01-31,7.66,300000,,
2012-02-07,8.42,300000,,
2012-02-14,7.6,300000,,
2012-02-21,8.58,300000,,
2012-02-23,8.81,1000000,,
2012-02-28,9.17,300000,,
2012-03-06,8.44,300000,,
2012-03-13,7.65,300000,,
2012-03-15,7.8,850000,,
2012-03-20,7.25,300000,,
2012-03-22,6.95,1000000,,
2012-03-27,6.9,300000,,
2012-04-03,6.0,300000,,
2012-04-10,6.54,300000,,
2012-04-17,6.97,300000,,
2012-04-19,7.02,1000000,,
2012-04-24,7.06,300000,,
2012-05-08,6.5,300000,,
2012-05-15,6.49,300000,,
2012-05-22,6.65,300000,,
2012-05-29,6.55,300000,,
2012-06-05,6.27,300000,,
2012-06-12,6.54,300000,1767000,5.89
2012-06-14,6.59,1000000,2080000,2.08
2012-06-19,7.39,300000,2120000,7.067
2012-06-26,8.0,300000,1222500,4.075
2012-07-03,8.11,300000,1984000,6.613
2012-07-10,7.87,300000,1951000,6.503
2012-07-17,7.68,300000,2040000,6.8
2012-07-24,7.13,300000,1675000,5.583
2012-07-31,6.64,300000,1384000,4.613
2012-08-07,7.21,300000,780000,2.6
2012-08-14,7.51,300000,829000,2.763
2012-08-21,7.6,300000,1719500,5.732
2012-08-28,8.25,300000,942000,3.14
2012-09-04,8.24,300000,1502000,5.007
2012-09-11,7.72,300000,1423000,4.743
2012-09-18,7.25,300000,1781000,5.937
2012-09-25,7.21,300000,1623000,5.41
2012-10-02,7.79,300000,1513000,5.043
2012-10-09,7.85,300000,1456000,4.853
2012-10-11,7.59,1000000,5314000,5.314
2012-10-16,7.76,300000,2402000,8.007
2012-10-23,7.85,300000,2002000,6.673
2012-10-26,7.54,3000000,23016500,7.672
2012-10-30,8.12,300000,1745000,5.817
2012-11-02,7.96,3000000,14490000,4.83
2012-11-06,8.24,1150000,6535000,5.683
2012-11-09,8.2,3000000,10904500,3.635
2012-11-13,8.499,5181000,10603000,2.047
2012-11-15,7.3,4031000,4961000,1.231
2012-11-16,6.75,3000000,5067000,1.689
2012-11-20,6.485,5346500,17647000,3.301
2012-11-22,6.64,4478500,9235000,2.062
2012-11-23,6.75,3000000,9202000,3.067
2012-11-27,6.7,4837500,13719000,2.836
2012-11-29,6.68,4837500,11520000,2.381
2012-11-30,6.23,3000000,7793000,2.598
2012-12-04,5.82,5301500,9951500,1.877
2012-12-06,6.3,5301500,11846000,2.234
2012-12-07,6.42,3000000,10521000,3.507
2012-12-10,6.63,1250000,7018000,5.614
2012-12-11,6.91,5515500,15389000,2.79
2012-12-13,6.55,5515500,13828000,2.507
2012-12-14,6.57,2531000,5805000,2.294
2012-12-17,6.29,1250000,2217000,1.774
2012-12-18,6.45,5584500,13431000,2.405
2013-01-07,6.18,3545000,9249500,2.609
2013-01-08,6.35,3544500,8654500,2.442
2013-01-10,5.93,3544500,9684000,2.732
2013-01-11,5.75,4020000,13156000,3.273
2013-01-14,5.55,3544500,9045500,2.552
2013-01-15,5.77,3544500,8705000,2.456
2013-01-17,5.36,3544500,8220000,2.319
2013-01-21,4.7,3544500,10511000,2.965
2013-01-22,4.88,3544000,13431000,3.79
2013-01-24,4.58,3544000,12119000,3.42
2013-01-25,3.88,5025000,10806000,2.15
2013-01-28,3.9,3472500,10822000,3.116
2013-01-29,3.88,3472500,11908000,3.429
2013-01-31,3.43,3472500,8119000,2.338
2013-02-01,3.15,5025000,11469000,2.282
2013-02-04,4.0,3472500,17401000,5.011
2013-02-05,4.1,3472000,18555000,5.344
2013-02-07,4.24,3472000,11542000,3.324
2013-02-08,4.32,5025000,15455000,3.076
2013-02-11,4.19,3472000,8100000,2.333
2013-02-12,4.44,3472000,11055000,3.184
2013-02-14,5.0,3472000,7675000,2.211
2013-02-15,4.96,5025000,13321000,2.651
2013-02-18,5.14,3553000,11775000,3.314
2013-02-19,4.31,3460500,8791000,2.54
2013-02-21,4.68,3460500,10950000,3.164
2013-02-25,4.76,3460500,9773000,2.824
2013-02-26,4.189,5460500,14987000,2.745
2013-02-28,4.38,3460500,8166000,2.36
2013-03-01,4.64,5025000,10964000,2.182
2013-03-04,4.54,3460000,8551000,2.471
2013-03-05,4.384,5460000,18348000,3.36
2013-03-07,4.12,3460000,11606000,3.354
2013-03-08,4.15,5025000,16589000,3.301
2013-03-11,4.01,3460000,9195000,2.658
2013-03-12,3.66,2000000,5780000,2.89
2013-03-14,3.36,4286500,9394000,2.192
2013-03-15,3.47,5025000,11360000,2.261
2013-03-18,3.47,4454000,9173000,2.059
2013-03-19,3.326,8016000,18801500,2.345
2013-03-20,3.67,1568500,6942000,4.426
2013-03-21,4.06,4448500,14230000,3.199
2013-03-22,4.23,5025000,6018000,1.198
2013-03-25,4.1,3587500,6434000,1.793
2013-03-26,4.571,4336500,13168000,3.037
2013-03-28,4.72,3587500,8840000,2.464
2013-04-02,4.4,3587500,5681000,1.584
2013-04-04,4.69,3587500,8247000,2.299
2013-04-05,5.05,4020000,8829000,2.196
2013-04-08,4.98,3587500,12816000,3.572
2013-04-09,4.9,3554000,10452500,2.941
2013-04-11,4.3,3554000,6498000,1.828
2013-04-12,4.4,4020000,8604000,2.14
2013-04-15,4.68,3554000,8396000,2.362
2013-04-16,4.67,3553500,6413000,1.805
2013-04-18,2.75,3553500,8105000,2.281
2013-04-19,3.1,4020000,4505000,1.121
2013-04-22,2.77,3462000,6990000,2.019
2013-04-23,2.697,6049500,16306000,2.695
2013-04-24,2.99,865000,4416000,5.105
2013-04-25,2.927,6049000,15143000,2.503
2013-04-26,2.95,4020000,11640000,2.896
2013-04-29,3.04,3462000,8035000,2.321
2013-04-30,3.23,3462000,10622000,3.068
2013-05-02,2.9,3462000,11013000,3.181
2013-05-03,2.95,4020000,10804000,2.688
2013-05-06,3.65,3462000,7026000,2.029
2013-05-07,3.68,3462000,7802000,2.254
2013-05-10,3.52,4020000,7647000,1.902
2013-05-13,3.23,3462000,11521000,3.328
2013-05-14,3.23,3462000,7784000,2.248
2013-05-16,3.47,3462000,8499000,2.455
2013-05-17,3.55,4020000,11297000,2.81
2013-05-21,3.49,3462000,10120000,2.923
2013-05-23,3.2,3462000,8290000,2.395
2013-05-24,3.3,4020000,14342000,3.568
2013-05-27,3.41,3462000,13220000,3.819
